,x,y,z,labels
0,-19.032797,-23.112387,-4.061396,51
1,-20.375902,57.43345,70.14522,0
2,49.750122,10.740171,9.707969,1
3,101.34628,-11.381671,6.4147315,120
4,-55.234028,-64.409294,-17.870256,2
5,-91.763885,1.2556517,6.2498226,3
6,-82.46396,16.443476,42.111546,4
7,-75.25911,-47.17346,6.6933913,-1
8,-53.77777,-58.744675,27.15402,109
9,12.635699,20.175638,43.109436,5
10,-69.00925,-1.5097523,-47.09443,6
11,-62.118618,27.84735,10.493858,7
12,-12.999384,25.225534,21.091032,8
13,-37.378147,81.36878,20.889324,9
14,-77.132835,4.0505776,-46.323406,6
15,75.79984,-27.82556,-15.635813,10
16,-18.938139,14.460603,48.977707,11
17,6.583228,13.769082,7.514394,12
18,48.14841,17.464733,13.511225,1
19,-53.431637,11.684737,-48.967667,6
20,-55.73823,48.46554,-29.03164,19
21,42.161396,34.222122,-8.294843,13
22,28.854887,-19.62448,-55.435986,14
23,19.354877,36.505684,-80.71033,15
24,73.0317,21.269367,-42.84359,16
25,-8.242515,-44.250145,-6.3500023,17
26,-27.801205,36.33825,-57.773277,18
27,24.86196,-17.374674,-44.122143,14
28,-92.7447,-11.080291,-9.6740265,3
29,-53.431637,11.684737,-48.967667,6
30,-51.186684,53.350136,-4.118981,19
31,49.455044,31.741144,49.482788,20
32,54.521606,8.998167,31.810108,21
33,-19.619137,-23.520567,-55.986618,22
34,45.522636,67.30013,-40.020077,23
35,-68.81539,-2.66344,55.762043,-1
36,8.692698,-32.58801,-9.848347,27
37,1.5396421,68.540825,18.748098,24
38,-43.497635,-9.596932,59.6927,63
39,-17.11678,-25.892061,-30.376087,-1
40,77.190254,-17.45096,75.27162,-1
41,41.352715,-7.4355803,96.699,-1
42,35.498978,-26.110125,-28.557755,69
43,-87.494026,-1.3234528,26.25056,-1
44,19.354877,36.505684,-80.71033,15
45,-8.57738,-41.699364,-50.96015,-1
46,22.739265,51.626373,-41.8257,25
47,-58.685966,26.597343,5.7361293,7
48,5.126915,7.051148,75.51437,-1
49,-80.472145,-5.3933315,5.9236903,3
50,14.711105,19.16882,13.515045,12
51,-59.302517,-52.22278,-53.665283,26
52,-64.40053,-55.676384,34.436527,109
53,14.894623,-51.67794,13.342033,27
54,14.259736,73.76633,-28.842964,28
55,57.406563,-54.355587,-8.131812,29
56,50.754097,21.750011,-23.768227,30
57,-6.770409,65.404396,-19.26405,31
58,-33.14009,3.3901343,-88.00947,124
59,1.5615877,36.64001,53.427376,32
60,-48.86386,5.530342,23.898844,33
61,-34.79248,4.267702,16.973135,148
62,74.80683,4.5140786,-8.886376,-1
63,-5.6016736,0.1833473,-76.2668,34
64,15.060186,11.4499035,-44.08989,35
65,-75.77483,-23.616035,-22.654615,36
66,-26.111273,-18.57345,95.430016,37
67,24.743704,-18.727015,-70.70628,38
68,-69.514755,-41.015667,64.77482,-1
69,7.94758,68.07192,45.327602,56
70,82.665886,19.178041,22.869532,39
71,27.046307,-28.630857,11.049339,-1
72,41.5724,61.043953,-35.170376,23
73,-88.24738,-6.0669904,2.0427032,3
74,-25.55985,72.63285,13.467841,9
75,58.096245,17.225794,59.20886,40
76,37.4796,40.479187,23.539728,41
77,-77.07411,10.295855,-45.260986,6
78,-72.54597,-23.866287,-17.51254,36
79,-59.429672,-68.23107,-27.022074,2
80,78.922226,20.775684,31.862932,39
81,-25.876942,4.0839295,43.623127,-1
82,5.8989625,70.97602,17.17874,24
83,81.601105,-20.133749,6.087832,120
84,30.754478,54.112263,-26.590494,-1
85,-61.353085,36.20106,12.983285,7
86,20.162603,-55.927277,27.377308,27
87,78.08958,-31.259758,-17.952742,10
88,-88.24738,-6.0669904,2.0427032,3
89,-24.35193,64.40658,68.83318,0
90,-56.203148,7.093535,36.028263,33
91,12.946243,-30.760754,-52.191547,42
92,-56.260323,-7.9493203,66.25594,43
93,-88.24738,-6.0669904,2.0427032,3
94,-29.884377,-12.25964,-38.10349,22
95,-11.223534,-35.29016,-59.610806,-1
96,-2.960509,-92.74199,-0.78152806,44
97,78.574394,15.76154,-12.526642,45
98,27.029757,-83.69366,11.691963,46
99,65.85841,27.42195,-47.40669,16
100,34.41641,-18.954098,13.665309,47
101,61.96381,-5.5290327,-2.821108,1
102,88.960144,-2.769665,-7.7196283,48
103,76.277855,16.597664,29.859182,39
104,-25.55985,72.63285,13.467841,9
105,30.91898,-59.992317,-31.073444,49
106,6.2902646,34.94021,50.868618,32
107,-1.2196493,47.092148,-34.84014,50
108,-85.96821,-21.444448,9.535896,3
109,-50.344376,44.402973,-13.069798,19
110,-5.1524115,-31.085722,4.7977157,51
111,39.90367,9.338852,46.13876,152
112,1.6193483,-95.600464,-3.117305,44
113,-16.644753,82.52121,25.17844,9
114,2.8026662,40.80071,-5.5515475,116
115,49.12908,5.532902,41.420395,21
116,21.63149,2.8364756,34.86807,-1
117,34.86552,-55.68415,-39.50191,49
118,-75.9654,18.89456,44.57003,4
119,4.120102,16.668486,4.0446687,12
120,-78.45654,-43.73118,7.2950206,-1
121,1.6376832,59.70423,-56.183712,52
122,-5.9409537,-43.455162,53.582386,53
123,-27.354914,20.938023,75.57095,86
124,72.558716,40.828663,5.5978045,72
125,14.407807,28.738459,78.79772,54
126,18.282341,-33.400867,-78.38308,-1
127,33.818012,21.455889,-62.954433,55
128,-16.644753,82.52121,25.17844,9
129,-16.644753,82.52121,25.17844,9
130,56.3967,25.773746,43.218204,20
131,27.258455,1.0395155,58.622463,-1
132,9.945347,-15.73,-11.569401,-1
133,20.246311,80.038345,59.224808,56
134,-53.094704,3.94161,-50.538723,6
135,-82.71068,3.6449192,-18.828274,57
136,25.815826,22.358814,-88.270226,15
137,36.970898,-34.747967,-50.258743,58
138,75.265144,16.170826,35.128735,39
139,-7.368937,-0.21021546,27.735634,59
140,-46.781292,48.365463,-10.690253,19
141,-0.0097060455,42.43542,45.932175,32
142,-19.812737,-16.05098,-40.866684,22
143,78.13888,14.123926,-7.230522,45
144,3.2083712,20.989244,62.784546,-1
145,-69.991714,-38.013203,-18.45948,36
146,64.3241,4.246087,-1.8362901,1
147,-36.635983,51.741375,-20.623081,19
148,1.3459878,-56.930946,18.237503,27
149,27.169958,23.874498,20.945312,-1
150,8.2565,-48.97115,10.411197,27
151,-29.35313,-45.946037,37.426327,60
152,67.594124,-1.6704394,25.583267,21
153,4.7219124,49.77528,55.83508,32
154,71.370186,-10.58829,53.97893,61
155,-18.876339,-39.399082,-23.058905,-1
156,10.115381,36.098778,14.866705,97
157,-9.033998,-99.29777,-14.935829,44
158,14.204048,88.50847,-16.443384,62
159,-25.728506,-5.327953,48.6701,63
160,60.1458,28.594501,11.13539,77
161,-48.00635,-47.440125,-46.142723,26
162,-61.075996,-29.157219,13.77167,64
163,-30.862429,30.792585,77.74027,86
164,-54.26925,-9.377351,50.18628,-1
165,-21.424706,16.547684,-27.641993,65
166,35.011936,-93.438034,12.546373,46
167,16.265486,21.100405,-96.43521,15
168,85.33659,21.083656,33.135876,39
169,62.763294,-16.768362,4.7033277,-1
170,-53.26364,-25.12187,8.038692,64
171,-12.855073,-50.769962,-26.013708,66
172,-33.99605,32.44082,57.363297,67
173,79.09693,-45.34105,-5.307648,68
174,50.942474,-27.392275,-14.166771,69
175,-3.883989,63.12478,-61.264713,52
176,-17.848312,21.741888,-47.009907,-1
177,80.05995,6.088496,23.174377,39
178,-19.99514,-63.772854,71.47212,53
179,39.3691,-17.13369,12.372226,47
180,7.1919093,88.83641,-13.313912,62
181,-25.980556,-22.304626,-36.856754,22
182,81.61145,-9.416946,-32.747757,70
183,26.095207,-53.36361,-36.477707,49
184,-74.47229,28.025875,1.2397401,7
185,-49.767975,43.89251,-24.25968,19
186,39.53064,27.15866,-59.92474,55
187,-42.954838,-15.805843,59.24833,63
188,-8.056023,81.70237,14.199181,9
189,-42.943253,-0.3646587,5.998268,71
190,-24.828474,-53.7682,-31.048834,66
191,74.324745,50.40754,4.875236,72
192,-17.08343,34.345104,-51.37504,-1
193,24.178097,55.96911,-43.748894,25
194,-23.72987,10.726082,94.120476,86
195,-71.08546,1.3272152,60.603252,4
196,28.307108,-12.018904,45.22036,73
197,-46.540356,0.17806563,2.821998,71
198,-28.054298,-29.350956,-20.530396,101
199,15.346049,39.83337,46.39683,32
200,21.459446,-56.868565,-10.953239,27
201,-37.0668,38.684303,-63.218067,18
202,-63.676266,55.409054,-25.548117,-1
203,87.649796,-9.3319435,16.846651,120
